Question, Tag
Which one of the following is  FALSE A basic block is a sequence of instructions where control enters the sequence at the beginning and exits at the end  Available expression analysis can be used for common subexpression elimination Live variable analysis can be used for dead code elimination x 4 5 Rightarrow x 20 is an example of common subexpression elimination ,Code Optimization
The minimum number of arithmetic operations required to evaluate the polynomial P X X 5 4X 3 6X 5 for a given value of X using only one temporary variable is ______ ,Code Optimization
Consider the basic block given below  a b c c a d d b c e d b a e b  The minimum number of nodes and edges present in the DAG representation of the above basic block respectively are 6 and 6 8 and 10 9 and 12 4 and 4 ,Code Optimization
Consider the following programming errors Type mismatch in an expression Array index out of bounds Use of an uninitialized variable in an expression Which of these errors will typically be caught at compile time by a modern compiler I II and III I and II I and III None of them ,Compilation Phases
Match the pairs in the following questions a Lexical analysis  p DAG s b Code optimization q Syntax trees c Code generation r Push down automaton d Abelian groups s Finite automaton  ,Compilation Phases
Match all items in Group 1 with the correct options from those given in Group 2 Group 1 Group 2 P Regular Expression 1 Syntax analysis Q Pushdown automata 2 Code generation R Dataflow analysis 3  Lexical analysis S Register allocation 4 Code optimization P 4 Q 1 R 2 S 3 P 3 Q 1 R 4 S 2 P 3 Q 4 R 1 S 2 P 2 Q 1 R 4 S 3  ,Compilation Phases
Match the following P Lexical analysis 1 Graph coloring Q Parsing 2 DFA minimization R Register allocation 3 Post order traversal S Expression evaluation 4 Production tree  P 2 Q 3 R 1 S 4 P 2 Q 1 R 4 S 3 P 2 Q 4 R 1 S 3 P 2 Q 3 R 4 S 1  ,Compilation Phases
Match the following P Lexical analysis         i Leftmost derivation Q Top down parsing      ii Type checking R Semantic analysis       iii Regular expressions S Runtime environment   iv Activation records  P leftrightarrow i Q leftrightarrow ii R leftrightarrow iv S leftrightarrow  iii P leftrightarrow iii Q leftrightarrow i R leftrightarrow ii S leftrightarrow iv P leftrightarrow ii Q leftrightarrow iii R leftrightarrow i S leftrightarrow iv P leftrightarrow iv Q leftrightarrow i R leftrightarrow ii S leftrightarrow iii   ,Compilation Phases
Match the following according to input from the left column to the compiler phase in the right column that processes it P Syntax tree i Code generator Q CHaracter stream ii Syntax analyser R Intermediate representation iii Semantic analyser S Token stream iv Lexical analyser P ii Q iii R iv S i P ii Q i R iii S iv P iii Q iv R i S ii P i Q iv R ii S iii  ,Compilation Phases
To evaluate an expression without any embedded function calls One stack is enough Two stacks are needed As many stacks as the height of the expression tree are needed A Turing machine is needed in the general case ,Expression Evaluation
Consider the expression tree shown Each leaf represents a numerical value which can either be 0 or 1 Over all possible choices of the values at the leaves the maximum possible value of the expression represented by the tree is ___  ,Expression Tree
Show that grammar G1 is ambiguous using parse trees G_ 1   S rightarrow if S then S else S          S rightarrow if S then S,Grammar
Consider the following grammar for arithmetic expressions using binary operators and which are not associative        E rightarrow E T mid T        T rightarrow T F mid F         F rightarrow E mid id E is the start symbol Is the grammar unambiguous Is so what is the relative precedence between  and If not give an unambiguous grammar that gives precedence over ,Grammar
Consider the following grammar for arithmetic expressions using binary operators and which are not associative        E rightarrow E T mid T        T rightarrow T F mid F         F rightarrow E mid id E is the start symbol Does the grammar allow expressions with redundant parentheses as in id id or in id u2212 id id If so convert the grammar into one which does not generate expressions with redundant parentheses Do this with minimum number of changes to the given production rules and adding at most one more production rule Convert the grammar obtained above into one that is not left recursive ,Grammar
 Which of the following features cannot be captured by context free grammars Syntax of if then else statements Syntax of recursive procedures Whether a variable has been declared before its use Variable names of arbitrary length  ,Grammar
A grammar G is in Chomsky Normal Form CNF if all its productions are of the form A o BC or A o a where A B and C are non terminals and a is a terminal Suppose G is a CFG in CNF and w is a string in L G of length n then how long is a derivation of w in G ,Grammar
Match the following items i Backus Naur form a Regular expressions ii Lexical analysis b LALR 1 grammar iii YACC c LL 1 grammars iv Recursive descent parsing d General context free grammars  ,Grammar
Consider a grammar with the following productions S  rightarrow  a alpha  b mid b alpha  c mid aB S  rightarrow alpha  S mid b S  rightarrow alpha b b mid ab S  alpha rightarrow bd b mid b The above grammar is Context free Regular Context sensitive LR k  ,Grammar
Compute the post fix equivalent of the following expression 3 log x 1 frac a 2 ,Infix Postfix
Which of the following is essential for converting an infix expression to the postfix form efficiently An operator stack An operand stack An operand stack and an operator stack A parse tree ,Infix Postfix
Write syntax directed definitions semantic rules for the following grammar to add the type of each identifier to its entry in the symbol table during semantic analysis Rewriting the grammar is not permitted and semantic rules are to be added to the ends of productions only D rightarrow TL T rightarrow ext int T rightarrow ext real L rightarrow L id L rightarrow id ,Intermediate Code
Write 3 address intermediate code quadruples for the following boolean expression in the sequence as it would be generated by a compiler Partial evaluation of boolean expressions is not permitted Assume the usual rules of precedence of the operators a b gt c d ext or a gt c ext and b lt d ,Intermediate Code
 Generation of intermediate code based on an abstract machine model is useful in compilers because it makes implementation of lexical analysis and syntax analysis easier syntax directed translations can be written for intermediate code generation it enhances the portability of the front end of the compiler it is not possible to generate code for real machines directly from high level language programs  ,Intermediate Code
For a C program accessing mathbf X i j k the following intermediate code is generated by a compiler Assume that the size of an  integer  is 32 bits and the size of a  character  is 8 bits  0 i u2217 1024 1 j u2217 322 k u2217 4 3 t1 t0 4 t3 t2 5 X t4 Which one of the following statements about the source code for the C program is CORRECT mathbf X  is declared as  int mathbf X 32 32 8 u201d mathbf X  is declared as  int mathbf X 4 1024 32 u201d mathbf X  is declared as  char mathbf X 4 32 8 u201d mathbf X  is declared as  char mathbf X 32 16 2 u201d ,Intermediate Code
One of the purposes of using intermediate code in compilers is to make parsing and semantic analysis simpler improve error recovery and error reporting increase the chances of reusing the machine independent code optimizer in other compilers improve the register allocation ,Intermediate Code
The least number of temporary variables required to create a three address code in static single assignment form for the expression q  r 3 s t 5 u v w is__________________ ,Intermediate Code
 For computer based on three address instruction formats each address field can be used to specify which of the following S1 A memory operand S2 A processor register S3 An implied accumulator register Either S1 or S2 Either S2 or S3 Only S2 and S3 All of S1 S2 and S3 ,Intermediate Code
Consider the following expression grammar G E rightarrow E T mid T T rightarrow T F mid F F rightarrow E mid id Which of the following grammars is not left recursive but is equivalent to G E rightarrow E T mid T T  rightarrow T F mid F F rightarrow E mid id E rightarrow TE u2019 E u2019 rightarrow TE u2019 mid epsilon T rightarrow T F mid F F rightarrow E mid id E rightarrow TX X rightarrow TX mid epsilon T rightarrow FY Y rightarrow FY mid epsilon F rightarrow  E mid id E rightarrow TX mid TX X rightarrow TX mid TX mid epsilon T rightarrow  id ,Left Recursion
The number of tokens in the following C statement is printf i d amp i x i amp i 3 26 10 21 ,Lexical Analysis
Which data structure in a compiler is used for managing information about variables and their attributes Abstract syntax tree Symbol table Semantic stack Parse table ,Lexical Analysis
In a compiler keywords of a language are recognized during parsing of the program the code generation the lexical analysis of the program dataflow analysis ,Lexical Analysis
The lexical analysis for a modern computer language such as Java needs the power of which one of the following machine models in a necessary and sufficient sense Finite state automata Deterministic pushdown automata Non deterministic pushdown automata Turing machine ,Lexical Analysis
Choose the correct alternatives more than one may be correct and write the corresponding letters only A u201clink editor u201d is a program that matches the parameters of the macro definition with locations of the parameters of the macro call matches external names of one program with their location in other programs matches the parameters of subroutine definition with the location of parameters of subroutine call acts as a link between text editor and the user acts as a link between compiler and the user program ,Linking
Which of the following is NOT an advantage of using shared dynamically linked libraries as opposed to using statistically linked libraries Smaller sizes of executable files Lesser overall page fault rate in the system Faster program startup Existing programs need not be re linked to take advantage of newer versions of libraries ,Linking
Consider a program P that consists of two source modules M_1 and M_2 contained in two different files If M_1 contains a reference to a function defined in M_2 the reference will be resolved at  Edit time Compile time Link time Load time ,Linking
Dynamic linking can cause security concerns because Security is dynamic The path for searching dynamic libraries is not known till runtime Linking is insecure Cryptographic procedures are not available for dynamic linking ,Linking
A variable x is said to be live at a statement s_ i in a program if the following three conditions hold simultaneously There exists a statement S_ j that uses x There is a path from S_ i to S_ j in the flow graph corresponding to the program The path has no intervening assignment to x including at S_ i and S_ j  The variables which are live both at the statement in basic block 2 and at the statement in basic block 3 of the above control flow graph are p s u r s u r u q v ,Live Variable
 What are x and y in the following macro definition macro Add x y Load y Mul x Store y end macro  Variables Identifiers Actual parameters Formal parameters  ,Macros
 The conditional expansion facility of macro processor is provided to est a condition during the execution of the expanded program to expand certain model statements depending upon the value of a condition during the execution of the expanded program to implement recursion to expand certain model statements depending upon the value of a condition during the process of macro expansion ,Macros
What will be the output of the following pseudo code when parameters are passed by reference and dynamic scoping is assumed          a 3 void n x x x a print x void m y a 1 a y a n a print a void main m a 6 2   6 6   4 2   4 4  ,Parameter Passing
What is printed by following program assuming call by reference method of passing parameters for all variables in the parameter list of procedure P program Main inout output var a b integer procedure P x y z integer begin y y 1 z x x end P begin a 2 b 3 p a b a a Write a end ,Parameter Passing
Consider the following pseudo code all data items are of type integer  procedure P a b c a 2 c a b end P begin x 1 y 5 z 100 P x x y z Write x x z z end Determine its output if the parameters are passed to the Procedure P by value reference name ,Parameter Passing
Choose the correct alternatives more than one may be correct and write the corresponding letters only Indicate all the true statements from the following Recursive descent parsing cannot be used for grammar with left recursion The intermediate form for representing expressions which is best suited for code optimization is the postfix form A programming language not supporting either recursion or pointer type does not need the support of dynamic memory allocation Although C does not support call by name parameter passing the effect can be correctly simulated in C No feature of Pascal typing violates strong typing in Pascal  ,Parameter Passing
Consider the following function void swap int a int b int temp temp a a b b temp In order to exchange the values of two variables x and y call swap x y call swap amp x amp y swap x y cannot be used as it does not return any value swap x y cannot be used as the parameters are passed by value ,Parameter Passing
Consider the program below in a hypothetical language which allows global variable and a choice of call by reference or call by value methods of parameter passing      int i program main int j 60 i 50 call f i j print i j procedure f x y i 100 x 10 y y i Which one of the following options represents the correct output of the program for the two parameter passing mechanisms Call by value i 70 j 10 Call by reference i 60 j 70 Call by value i 50 j 60 Call by reference i 50 j 70 Call by value i 10 j 70 Call by reference i 100 j 60 Call by value i 100 j 60 Call by reference i 10 j 70 ,Parameter Passing
What is the return value of f p p if the value of p is initialized to 5 before the call Note that the first parameter is passed by reference whereas the second parameter is passed by value     int f int amp x int c c c 1 if c 0 return 1 x x 1 return f x c x  ,Parameter Passing
The attribute of three arithmetic operators in some programming language are given below OPERATOR PRECEDENCE ASSOCIATIVITY ARITY high Left Binary Medium Right Binary Low Left Binary  The value of the expression 2 5 1 7 3 in this language is ________  ,Parsing
An operator precedence parser is a Bottom up parser Top down parser Back tracking parser None of the above ,Parsing
Choose the correct alternatives more than one may be correct and write the corresponding letters only For a context free grammar FOLLOW A is the set of terminals that can appear immediately to the  right of non terminal A in some sentential form We define two sets LFOLLOW A and RFOLLOW A by replacing the word sentential by left sentential and right most sentential respectively in the definition of  FOLLOW A FOLLOW A and LFOLLOW A may be different FOLLOW A and RFOLLOW A are always the same All the three sets are identical All the three sets are different ,Parsing
Choose the correct alternatives more than one may be correct and write the corresponding letters only Consider the SLR 1 and LALR 1  parsing tables for a context free grammar Which of the following statement is are true The goto part of both tables may be different The shift entries are identical in both the tables The reduce  entries in the tables may be different The error entries in tables may be different  ,Parsing
Which of the following statements is true SLR paper is more powerful than LALR LALR parser is more powerful than Canonical LR parser Canonical LR parser is more powerful than LALR parser The parsers SLR Canonical CR and LALR have the same power  ,Parsing
Type checking is normally done during lexical analysis syntax analysis syntax directed translation code optimization ,Parsing
 An identifier in a programming language consists of up to six letters and digits of which the first character must be a letter Derive a regular expression for the identifier Build an LL 1 parsing table for the language defined by the LL 1 grammar with productions ext Program rightarrow ext begin d ext semi X ext end X rightarrow d ext semi X mid sY Y rightarrow ext semi s Y mid epsilon  ,Parsing
Consider line number 3 of the following C program int main Line 1 int I N Line 2 fro I 0 I lt N I Line 3 Identify the compiler u2019s response about this line while creating the object module No compilation error Only a lexical error Only syntactic errors Both lexical and syntactic errors ,Programming In C
What is the output of the following C code Assume that the address of x is 2000 in decimal and an integer requires four bytes of memory int main unsigned int x 4 3 1 2 3 4 5 6 7 8 9 10 11 12 printf u u u x 3 x 3 x 2 3 2036 2036 2036 2012 4 2204 2036 10 10 2012 4 6 ,Programming In C
Consider the following C  program void f int short void main int i 100 short s 12 short p amp s ____________ call to f  Which one of the following expressions when placed in the blank above will NOT result in a type checking error f s s i f i s f i s f i p ,Programming In C
 Consider the following C program include lt stdio h gt void mystery int ptra int ptrb  int temp  temp ptrb  ptrb ptra  ptra temp int main  int a 2016 b 0 c 4 d 42  mystery amp a amp b  if a lt c  mystery amp c amp a  mystery amp a amp d  print f d a The output of the program is _________  ,Programming In C
   The following function computes the maximum value contained in an integer array P  of size n n gt 1            int max int p int n int a 0 b n 1 while __________ if p a lt p b a a 1 else b b 1 return p a The missing loop condition is   a n   b 0   b gt a 1   b a  ,Programming In C
The following C declarations struct node int i float j struct node s 10 define s to be An array each element of which is a pointer to a structure of type node A structure of 2 fields each field being a pointer to an array of 10 elements A structure of 3 fields an integer a float and an array of 10 elements An array each element of which is a structure of type node ,Programming In C
The most appropriate matching for the following pairs X m malloc 5 m NULL 1 using dangling pointers Y free n n gt value 5 2 using uninitialized pointers Z char p p a 3 lost memory is X 1  Y 3  Z 2 X 2  Y 1  Z 3 X 3  Y 2  Z 1 X 3  Y 1 Z 2 ,Programming In C
Which of the following statements are CORRECT Static allocation of all data areas by a compiler makes it impossible to implement recursion  Automatic garbage collection is essential to implement recursion  Dynamic allocation of activation records is essential to implement recursion  Both heap and stack are essential to implement recursion  1 and 2 only 2 and 3 only 3 and 4 only 1 and 3 only ,Recursion
  What will be the output of the following C program void count int n static int d 1 printf d n printf d d d if n gt 1 count n 1 printf d d void main count 3 3 1 2 2 1 3  4 4 4   3 1 2  1  1 1 2 2 2   3 1  2 2 1 3 4   3 1 2  1  1  1  2   ,Recursion
Consider the following recursive definition of fib fib n if n 0 then 1 else if n 1 then 1 else fib n 1 fib n 2 The number of times fib  is called including the first call for evaluation of fib 7 is___________ ,Recursion
Consider the following recursive function function fib n integer integer begin if n 0 or n 1 then fib 1 else fib fib n 1 fib n 2 end The above function is run on a computer with a stack of 64 bytes Assuming that only return address and parameter are passed on the stack and that an integer value and an address takes 2 bytes each estimate the maximum value of n for which the stack will not overflow Give reasons for your answer  ,Recursion
A recursive program to compute  Fibonacci  numbers is shown below Assume you  are also given an array f 0 m with all elements initialized to 0 fib n if n gt M error if n 0 return 1 if n 1 return 1 if u25ad ________________________ 1 return u25ad__________________ 2 t fib n 1 fib n 2 u25ad_____________________________ 3 return t Fill in the boxes with expressions statement to make fib store and  reuse  computed Fibonacci values Write the box number and the corresponding  contents in your answer book What is the time complexity of the resulting program when computing fib n ,Recursion
Consider the following C program void abc char s if s 0 0 return abc s 1 abc s 1 printf c s 0 main abc 123 What will be the output of the program If abc s is called with a null terminated string s of length n characters not counting the null 0 character how  many characters will be printed by abc s ,Recursion
The following recursive function in C is a solution to the Towers of Hanoi problem void move int n char A char B char C if move printf Move disk d from pole c to pole c n A C move Fill in the dotted parts of the solution ,Recursion
Consider evaluating the following expression tree on a machine with load store architecture in  which memory can be accessed only through load and store instructions The variables a b c d and e are initially stored in memory The binary operators used in this expression tree can be evaluated by the machine only when operands are in registers The instructions produce result only in a register If no intermediate results can be stored in memory what is the minimum number of registers needed to evaluate this expression 2 9 5 3 ,Register Allocation
Consider the expression  a 1 b c 3 d Let X be the minimum number of registers required by an  optimal  code generation without any register spill algorithm for a load store architecture in which   only load and store instructions can have memory operands  and   arithmetic instructions can have only register or immediate operands  The value of X is _____________ ,Register Allocation
 Consider the following code segment x u t y x v x y w y t z y x y The minimum number of total variables required to convert the above code segment to static single assignment form is __________  ,Static Single Assignment
Consider the following intermediate program in three address code p a b q p c p u v q p q Which one of the following corresponds to a  static single assignment  form of the above code p1 a b q1 p1 c p1 u v q1 p1 q1 p3 a b q4 p3 c p4 u v q5 p4 q4 p1 a b q1 p2 c p3 u v q2 p4 q3 p1 a b q1 p c p2 u v q2 p q ,Static Single Assignment
Consider the following Syntax Directed Translation Scheme SDTS with non terminals S A and terminals a b      S o aA  quad ext print 1       S o a   quad  ext print 2       A o Sb  quad ext print 3 Using the above SDTS the output printed by a bottom up parser for the input aab is  1 3 2   2 2 3    2 3 1   syntax error ,Syntax Directed Translation
A shift reduce parser carries out the actions specified within braces immediately after reducing with the corresponding rule of grammar S rightarrow xxW ext print 1 S rightarrow y ext print 2 W rightarrow Sz ext print 3 What is the translation of xxxxyzz using the syntax directed translation scheme described by the above rules 23131 11233 11231 33211  ,Syntax Directed Translation
 Consider the syntax directed translation schema SDTS shown below E rightarrow E E print ldquo rdquo E rightarrow E E print ldquo rdquo E rightarrow id print id name E rightarrow E An LR parser executes the actions associated with the productions immediately after a reduction by the corresponding production Draw the parse tree and write the translation for the sentence a b c d using SDTS given above  ,Syntax Directed Translation
Let the attribute u2018 val u2019 give the value of a binary number generated by S in the following grammar S rightarrow L L mid L L rightarrow LB mid B B rightarrow 0 mid 1 For example an input 101 101 gives S val 5 625 Construct a syntax directed translation scheme using only synthesized attributes to determine S val ,Syntax Directed Translation
Consider the syntax directed translation scheme SDTS given in the following Assume attribute evaluation with bottom up parsing i e attributes are  evaluated immediately after a reduction E rightarrow  E _ 1 T E val E _ 1 val T val     E rightarrow  T E val T val T rightarrow  F T _ 1 T val F val T _ 1 val     T rightarrow F T val F val     F rightarrow 2 F val 2     F rightarrow 4 F val 4 Using this  SDTS construct a parse tree for the expression 4 2 4 2  and also compute its E val It is required to compute the total number of reductions performed to parse  a given input Using synthesized attributes only modify the SDTS given without changing the  grammar to find E red the number of reductions  performed while reducing an input to E ,Syntax Directed Translation
In a bottom up evaluation of a syntax directed definition inherited attributes can always be evaluated be evaluated only if the definition is L attributed be evaluated only if the definition has synthesized attributes never be evaluated ,Syntax Directed Translation
The expression a b c op dots where u2018op u2019 is one of u2018 u2019 u2018 u2019 and u2018 uparrow u2019 exponentiation can be evaluated on a CPU with single register without  storing the value of a b if u2018op u2019 is u2018 u2019 or u2018 u2019 u2018op u2019 is u2018 uparrow u2019 or u2018 u2019 u2018op u2019 is u2018 uparrow u2019 or u2018 u2019 not possible to evaluate without storing ,Target Code Generation
Consider the syntax directed definition shown below S rightarrow mathbf  id  E gen mathbf  id place E place E rightarrow E_1 E_2 t  newtemp  gen t E_1 place E_2 place  E place  t E rightarrow  id E place mathbf id place Here gen is a function that generates the output code and newtemp is a function that returns the name of a new temporary variable on every call Assume that ti s are the temporary variable names generated by newtemp For the statement u2018 X Y Z u2019 the 3 address code sequence generated by this definition is X Y Z t_1 Y Z X t_1 t_1 Y t_2 t_1 Z X t_2 t_1  Y t_2 Z t_3 t_1 t_2  X t_3 ,Target Code Generation
Consider the grammar rule E rightarrow  E1 u2013 E2 for arith u00admetic expressions The code generated is targeted to a CPU having a single user register The sub u00adtraction operation requires the first operand to be in the register If E1 and E2 do not have any com u00admon sub expression in order to get the shortest possible code E1 should be evaluated first E2 should be evaluated first Evaluation of E1 and E2 should necessarily be interleaved Order of evaluation of E1 and E2 is of no consequence ,Target Code Generation
The program below uses six temporary variables a b c d e f a 1 b 10 c 20 d a b e c d f c e b c e e b f d 5 e return d f Assuming that all operations take their operands from registers what is the minimum number of registers needed to execute this program without spilling 2 3 4 6 ,Target Code Generation
Study the following program written in a block structured language Var x y interger procedure P n interger begin x n 2 n 3 end procedure Q Var x y interger begin x 3 y 4 P y Write x __ 1 end begin x 7 y 8 Q Write x __ 2 end What will be printed by the write statements marked 1 and 2 in the program if the variables are statically scoped 3 6 6 7 3 7 None of the above  ,Variable Scope
Which one of the following is TRUE at any valid state in shift reduce parsing Viable prefixes appear only at the bottom of the stack and not inside Viable prefixes appear only at the top of the stack and not inside The stack contains only a set of viable prefixes The stack never contains viable prefixes ,Viable Prefix
Consider a LAN with four nodes S1 S2 S3 and S3 Time is divided into fixed size slots and a node can begin its transmission only at the beginning of a slot A collision is said to have occurred if more than one node transmit in the same slot The probabilities of generation of a frame in a time slot by S1 S2 S3 and S4 are 0 1 0 2 0 3 and 0 4 respectively The probability of sending a frame in the first slot without any collision by any of these four stations is__________________ ,
Given a language L define L i as follows L 0 varepsilon L i L i 1  bullet  L ext for all I gt 0 The order of a language L is defined as the smallest k such that L k L k 1 Consider the language L_1 over alphabet O accepted by the following automaton The order of L_1 is ____  ,
 Which of the following is are example s of stateful application layer protocol HTTP FTP TCP POP3  i and ii only ii and iii only ii and iv only iv only ,Application Layer Protocols
Consider the three commands PROMPT HEAD and RCPT Which of the following options indicate a correct association of these commands with protocols where these are used HTTP SMTP FTP FTP HTTP SMTP HTTP FTP SMTP SMTP HTTP FTP ,Application Layer Protocols
HELO and PORT respectively are commands from the protocols FTP and HTTP TELNET and POP3 HTTP and TELNET SMTP and FTP ,Application Layer Protocols
Which one of the following uses UDP as the transport protocol HTTP Telnet DNS SMTP ,Application Layer Protocols
What is the maximum size of data that the application layer can pass on to the TCP layer below Any size 2 16 bytes size of TCP header 2 16 bytes 1500 bytes ,Application Layer Protocols
Provide the best matching between the entries in the two columns given in the table below I Proxy Server a Firewall II Kazaa DC b Caching III Slip c P2P IV DNS d PPP I a II d III c IV b I b II d III c IV a I a II c III d IV b I b II c III d IV a ,Application Layer Protocols
 Consider the different activities related to email m1 Send an email from mail client to mail server m2 Download an email from mailbox server to a mail client m3 Checking email in a web browser Which is the application level protocol used in each activity m1 HTTP  m2 SMTP  m3 POP m1  SMTP  m2 FTP  m3 HTTP m1  SMTP  m2 POP  m3 HTTP m1 POP  m2 SMTP  m3 IMAP ,Application Layer Protocols
A bit stuffing based framing protocol uses an ext 8 bit delimiter pattern of 01111110 If the output bit string after stuffing is 01111100101 then the input bit string is 0111110100 0111110101 0111111101 0111111111 ,Bit Stuffing
Consider the diagram shown below where a number of LANs are connected by  transparent bridges In order to avoid packets looping through circuits in the graph  the bridges organize themselves in a spanning tree First the root bridge is identified as  the bridge with the least serial number Next the root sends out one or more data  units to enable the setting up of the spanning tree of shortest paths from the root bridge  to each bridge  Each bridge identifies a port the root port through which it will forward frames to the  root bridge Port conflicts are always resolved in favour of the port with the lower index  value When there is a possibility of multiple bridges forwarding to the same LAN but  not through the root port ties are broken as follows bridges closest to the root get  preference and between such bridges the one with the lowest serial number is  preferred For the given connection of LANs by bridges which one of the following choices  represents the depth first traversal of the spanning tree of bridges B1 B5 B3 B4 B2 B1 B3 B5 B2 B4 B1 B5 B2 B3 B4 B1 B3 B4 B5 B2 ,Bridges
Consider the diagram shown below where a number of LANs are connected by  transparent bridges In order to avoid packets looping through circuits in the graph  the bridges organize themselves in a spanning tree First the root bridge is identified as  the bridge with the least serial number Next the root sends out one or more data  units to enable the setting up of the spanning tree of shortest paths from the root bridge  to each bridge  Each bridge identifies a port the root port through which it will forward frames to the  root bridge Port conflicts are always resolved in favour of the port with the lower index  value When there is a possibility of multiple bridges forwarding to the same LAN but  not through the root port ties are broken as follows bridges closest to the root get  preference and between such bridges the one with the lowest serial number is  preferred Consider the spanning tree B1 B5 B3 B4 B2 for the given connection of LANs by bridges that  represents the depth first traversal of the spanning tree of bridges  Let host H1 send  out a broadcast ping packet Which of the following options represents the  correct forwarding table on B3 ,Bridges
Assume that each character code consists of 8 bits The number of characters that can be transmitted per second through an asynchronous serial line at 2400 baud rate and with two stop bits is 109 216 218 219  ,Communication
In serial data transmission every byte of data is padded with a 0 in the beginning and one or two 1 s at the end of byte because receiver is to be synchronized for byte reception receiver recovers lost 0 s and 1 s from these padded bits padded bits are useful in parity computation none of the above ,Communication
How many 8 bit characters can be transmitted per second over a 9600 baud serial communication link using asynchronous mode of transmission with one start bit eight data bits two stop bits and one parity bit 600 800 876 1200 ,Communication
A serial transmission T1 uses 8 information bits 2 start bits 1 stop bit and 1 parity bit for each character A synchronous transmission T2 uses 3 eight bit sync characters followed by 30 eight bit information characters If the bit rate is 1200 bits second in both cases what are the transfer rates of  T1 and T2 100 characters sec 153 characters sec 80 characters sec 136 characters sec 100 characters sec 136 characters sec 80 characters sec 153 characters sec ,Communication
Let us consider a statistical time division multiplexing of packets The number of sources is 10 In a time unit a source transmits a packet of 1000 bits The number of sources sending data for the first 20 time units is 6 9 3 7 2 2 2 3 4 6 1 10 7 5 8 3 6 2 9 5 respectively The output capacity of multiplexer is 5000 bits per time unit Then the average number of backlogged of packets per time unit during the given period is 5 4 45 3 45 0 ,Communication
A broadcast channel has 10 nodes and total capacity of 10 Mbps It uses polling for medium access Once a node finishes transmission there is a polling delay of 80 u03bcs to poll the next node Whenever a node is polled it is allowed to transmit a maximum of 1000 bytes The maximum throughput of the broadcast channel is 1 Mbps 100 11 Mbps 10 Mbps 100 Mbps ,Communication
 Consider a source computer S transmitting a file of size 10 6 bits to a destination computer D over a network of two routers R_ 1 ext and R_ 2 and three links L_ 1 L_ 2 ext and L_ 3 L_ 1 connects S to R_ 1 L_ 2 connects R_ 1 to R_ 2 and L_ 3 connects R_ 2 to D Let each link be of length 100 km Assume signals travel over each link at a speed of 10 8 meters per second Assume that the link bandwidth on each link is 1 Mbps Let the file be broken down into 1000 packets each of size 1000 bits Find the total sum of transmission and propagation delays in transmitting the file from S to D A 1005 ms B 1010 ms C 3000 ms D 3003 ms ,Communication
On a TCP connection current congestion window size is Congestion Window 4 KB The window size advertised by the receiver is Advertise Window 6 KB The last byte sent by the sender is LastByteSent 10240 and the last byte acknowledged by the receiver is LastByteAcked 8192 The current window size at the sender is 2048 bytes 4096 bytes 6144 bytes 8192 bytes ,Congestion Control
In the slow start phase of the TCP congestion algorithm the size of the congestion window does not increase increase linearly increases quadratically increases exponentially ,Congestion Control
 Consider an instance of TCP rsquo s Additive Increase Multiplicative Decrease AIMD algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS Assume that a timeout occurs during the fifth transmission Find the congestion window size at the end of the tenth transmission A 8 MSS B 14 MSS C 7 MSS D 12 MSS ,Congestion Control
Let the size of congestion window of a TCP connection be 32 KB when a timeout occurs The round trip time of the connection is 100 msec and the maximum segment size used is 2 KB The time taken  in msec  by the TCP connection to get back to 32 KB congestion window is _________ ,Congestion Control
Consider a simple communication system where multiple nodes are connected by a shared broadcast medium like Ethernet or wireless The nodes in the system use the following carrier sense the medium access protocol A node that receives a packet to transmit will carrier sense the medium for 5 units of time If the node does not detect any other transmission it waits until this other transmission finishes and then begins to carrier sense for 5 time units again Once they start to transmit nodes do not perform any collision detection and continue transmission even if a collision occurs All transmissions last for 20 units of time Assume that the transmission signal travels at the speed of 10 meters per unit time in the medium Assume that the system has two nodes P and Q located at a distance d meters from each other P starts transmitting a packet at time t 0 after successfully completing its carrier sense phase Node Q has a packet to transmit at time t 0 and begins to carrier sense the medium The maximum distance d in meters rounded to the closest integer that allows Q to successfully avoid a collision between its proposed transmission and P u2019s on going transmission is _______,Congestion Control
Consider the following message M 1010001101 The cyclic redundancy check CRC for this message using the divisor polynomial x5 x4 x2 1 is 01110 01011 10101 10110 ,Crc Polynomial
 The message 11001001 is to be transmitted using the CRC polynomial x 3 1 to protect it from errors The message that should be transmitted is  11001001000 11001001011 11001010 110010010011  ,Crc Polynomial
A computer network uses polynomials over GF 2 for error checking with 8 bits as information bits and uses x 3 x 1 as the generator polynomial to generate the check bits In this network the message 01011011 is transmitted as 01011011010 01011011011 01011011101 01011011100 ,Crc Polynomial
Anarkali digitally signs a message and sends it to Salim Verification of the signature by Salim requires Anarkali s public key Salim s public key Salim s private key Anarkali s private key  ,Cryptography
A sender S sends a message m to receiver R which is digitally signed by S with its private key In this scenario one or more of the following security violations can take place S can launch a birthday attack to replace m with a fraudulent message A third party attacker can launch a birthday attack to replace m with a fraudulent message R can launch a birthday attack to replace m with a fraudulent message Which of the following are possible security violations I and II only I only II only II and III only ,Cryptography
Which of the following statements is TRUE about CSMA CD IEEE 802 11 wireless LAN runs CSMA CD protocol Ethernet is not based on CSMA CD protocol CSMA CD is not suitable for a high propagation delay network like satellite network There is no contention in a CSMA CD network ,Csma Cd
